id;is_variant;sku;sold;stock;stock_location;purchase_price;price;before_price;weight;gtin-ean;supplier_sku;supplier_name;visible;description;title;seo_title;seo_description;images;variant;product_sku;product_id
134;0;9035VTVG17B78;0;36;-;-;999.00;-;0;-;;Amefa;1;"<p>16-dels bestickset med vintagelook i elegant design.&nbsp;</p><p>Paketet innehåller:&nbsp;</p><p>4 x Bordsknivar 22cm</p><p>4x Bordsgafflar</p><p>4x Bordsskedar</p><p>4x Kaffeskedar</p><p>Godkänd för maskindisk, men handdisk rekommenderas för bäst livslängd.&nbsp;</p><p><br></p>";Manille 16-dels Vintage Black;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab7c56f6ff.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab7cc1461d.jpeg;-;9035VTVG17B78;134
132;0;9035VCVG17B78;0;36;-;-;999.00;-;0;-;;Amefa;1;"<p>16-dels bestickset med vintagelook i elegant design.&nbsp;</p><p>Paketet innehåller:&nbsp;</p><p>4 x Bordsknivar 22cm</p><p>4x Bordsgafflar</p><p>4x Bordsskedar</p><p>4x Kaffeskedar</p><p>Godkänd för maskindisk, men handdisk rekommenderas för bäst livslängd.&nbsp;</p>";Manille 16-dels Vintage Champagne;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab84c894fe.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab85441cb0.jpeg;-;9035VCVG17B78;132
121;0;700000BC11AG6;0;6;-;-;329.00;-;0;-;;Amefa;1;"<p>Grillgafflar i 6-p från Amefa i 18/10 stål. Perfekta till pizzan eller köttbiten. Tillverkade i 18/10 rostfritt stål.&nbsp;</p><p>Diskas i diskmaskin. Finns även grillknivar i samma serie.&nbsp;</p>";Grillgaffel Pizza 6-p svart;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab95d363dd.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab96393260.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab96b06aba.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cab9b910995.jpeg;-;700000BC11AG6;121
120;0;700000BC10BR6;0;6;-;-;329.00;-;0;-;;Amefa;1;"<p>Grillknivar i 6-p från Amefa. Perfekta till pizzan eller köttbiten. Tillverkade i 18/10 rostfritt stål.&nbsp;</p><p>Diskas i diskmaskin. Finns även gafflar i samma serie.&nbsp;</p>";Grillkniv Pizza 6-p svart;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabb6bc2486.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabb74aedb8.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabb7ad821b.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabb8121b21.jpeg;-;700000BC10BR6;120
126;0;703800BC09BR6;0;6;-;-;299.00;-;0;-;;Amefa;1;"<p>Grillknivar i elegant och nätt design. Tillverkas av 18/10 stål och är godkänd för diskmaskin.&nbsp;</p><p>Levereras i 6-p. Finns även gafflar i samma serie.&nbsp;</p>";Grillkniv Chuletero 6-p;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabcbb1dfdb.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabc6fe7fa7.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabcc54cfa5.jpeg;-;703800BC09BR6;126
125;0;703800BC09BQ6;0;6;-;-;299.00;-;0;-;;Amefa;1;"<p>Gafflar i elegant och nätt design. Tillverkas av 18/10 stål och är godkänd för diskmaskin.&nbsp;</p><p>Levereras i 6-p. Finns även grillknivar i samma serie.&nbsp;</p>";Grillgaffel Chuletero 6-p;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabdb38407f.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabdc2358f7.jpeg;-;703800BC09BQ6;125
105;0;252000WLL5BR4;0;8;-;-;849.00;-;0;-;;Amefa;1;"<p>Klassiska grillknivar tillverkade i 13/0 stål och polerat trä. Med klassiska detaljer i knivskaftet och en klassisk design, förgyller dessa knivar din dukning. Går att matcha med de flesta bestickset. Levereras i snygg trälåda. Godkänd för diskmaskin.&nbsp;</p>";Grillkniv Royal Steak 4-p Brown i träbox;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabe6072b76.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabe6f41e85.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cabe69e07d9.jpeg;-;252000WLL5BR4;105
106;0;2520WNWLL5BR4;0;8;-;-;849.00;-;0;-;;Amefa;1;"<p>Klassiska grillknivar tillverkade i 13/0 stål och polerat trä. Med klassiska detaljer i knivskaftet och en klassisk design, förgyller dessa knivar din dukning. Går att matcha med de flesta bestickset. Levereras i snygg trälåda. Godkänd för diskmaskin.&nbsp;</p>";Grillkniv Royal Steak 4-p Natural i träbox;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac080b74a4.png,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac08d43b92.jpeg;-;2520WNWLL5BR4;106
92;0;141000B307C40;0;4;-;-;879.00;-;0;-;;Amefa;1;"<p>Favoritserien Austin från Amefa. Stilrent och lätt bestick i rostfritt 18/0 stål.&nbsp;</p><p>Levereras i 24-dels kit som innehåller:&nbsp;</p><p>6x Bordskniv</p><p>6x Gaffel&nbsp;</p><p>6x Matsked</p><p>6x Tesked</p><p>Diskas i diskmaskin.&nbsp;</p>";Austin bestickset 24 del;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac16e6ab5e.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac1748f8ba.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac17a8fe3f.jpeg;-;141000B307C40;92
102;0;192300RT41C40;0;4;-;-;1,499.00;-;0;-;;Amefa;1;"<p>Stilrent bestickset i skandinavisk design. Tillverkade I rostfritt 18/10 stål och har otroligt fin finish.&nbsp;</p><p>Levereras i 24-dels kit som innehåller:&nbsp;</p><p>6x Bordskniv</p><p>6x Gaffel&nbsp;</p><p>6x Matsked</p><p>6x Tesked</p><p>Diskas i diskmaskin.</p>";Moderno bestickset 24 dels;;;https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac2cdea99a.jpeg,https://s3-eu-west-1.amazonaws.com/storage.quickbutik.com/stores/37478X/products/61cac2d836284.jpeg;-;192300RT41C40;102
