vendor_id;article_no;SKU;name;product_type;additional_attributes;configurable_variations;categories;description_short;description_long;product_features;ean_or_gtin_code;manufacturer_no;brand;price;currency;vat_rate;qty;weight;length;width;height;base_image;additional_images
;120016;;Låssprint, Klätterställ;RESERVDEL;;;Gymnastics;Låssprint, Klätterställ;;;;;;185.32;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/120016;
;120019;;Bomkil;RESERVDEL;;;Gymnastics;Bomkil;Bomkil för att fixera bommen i bomsystem.;;;;;70.52;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/120019;
;130501;;Linjeringstejp till basketplan (röd);RESERVDEL;;;Accessories;Tejp Röd    50mm X 20m;Röd tejp för linjering av basketbollplan. Bredd 50 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130501;
;130502;;Linjeringstejp till tennisbana (vit);RESERVDEL;;;Accessories;Tejp Vit    50mm X 20m;Vit tejp för linjering av tennisbana. Bredd 50 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130502;
;130503;;Linjeringstejp till handbollsplan (gul);RESERVDEL;;;Accessories;Tejp Gul    50mm X 20m;Gul tejp för linjering av handbollsplan. Bredd 50 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130503;
;130504;;Linjeringstejp (svart);RESERVDEL;;;Accessories;Tejp Svart  50mm X 20m;Svart tejp. Bredd 50 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130504;
;130505;;Linjeringstejp till volleybollplan (blå);RESERVDEL;;;Accessories;Tejp Blå    50mm X 20m;Blå tejp för linjering av volleybollplan. Bredd 50 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130505;
;130506;;Linjeringstejp till badmintonplan (svart);RESERVDEL;;;Accessories;Tejp Svart  38mm X 20m;Svart tejp för linjering av badmintonplan. Bredd 38 mm. Rulle med 20 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130506;
;130507;;Linjeringstejp till innebandyplan (orange);RESERVDEL;;;Accessories;Tejp Orange  50mm X 66m;Orange tejp för linjering av innebandyplan. Bredd 50 mm. Rulle med 66 m.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130507;
;130509;;Tejp Nitto 21;RESERVDEL;;;Accessories;Tape Nitto 21, 100 mm;Bredd 100 mm. Rulle med 20 m. För tejpning av skarvar på sportgolvsunderlag.;;;;;252.56;SEK;25%;RULLE;;;;;https://webshop.unisport.com/se_sv/image/130509;
;130681;;Kullagrat glid med S-Krok;RESERVDEL;;;Gymnastic system;Kullagrat Glid Med S-Krok;Passar Nät/Draperiskena 130686.;;;;;177.12;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130681;
;130723;;Kätting för badminton-/minitennisnät;BADMINTON;;;Badminton;Nätkätting Badmint./Minitennis;Kätting som knyts i spännlinan till nätet för att spänna detta.;;;;;97.58;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130723;
;130803;;Baskettavla Trä 1800 x 1050;RESERVDEL;;;Ball sport;Baskettavla i trä 1800x1050 mm;Tavlans mått: 1800x1050 mm. Tjocklek 18 mm. Exkl. kantskydd.;;;;;3,029.08;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130803;
;130804;;Baskettavla Trä 1200 x 900;RESERVDEL;;;Ball sport;Baskettavla i trä 1200x900mm;Baskettavla med måtten: 1200x900 mm. 18 mm tjock. Exkl. kantskydd.;;;;;1,815.48;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130804;
;130806;;Baskettavla SHURE SHOT;BASKET;;;Basketball;Baskettavla SHURE SHOT;Baskettavla i plast, 1200x900 mm.;;;;;1,669.52;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130806;
;130809;;Baskettavla Glas 1800 x 1050;INREDNING;;;Basketball;Baskettavla Glas 1800x1050 mm;Baskettavla i securitglas som levereras monterad i kraftig stålram. Mått: 1800x1050 mm. Tjocklek 60 mm. Exkl. kantskydd.;;;;;15,363.52;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130809;
;130810;;Baskettavla Acryl 1800 x 1050;INREDNING;;;Basketball;Baskettavla Acryl med stålram;Baskettavla i acryl som levereras monterad i kraftig stålram. Mått: 1800x1050 mm. Tjocklek 60 mm. Exkl. kantskydd.;;;;;12,331.16;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130810;
;130818;;Snöre till basketnät;RESERVDEL;;;Ball sport;Snöre till basketnät, ca 2m;2 meter långt snöre att fästa basketnätet med.;;;;;36.9;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130818;
;130855;;Manöverdon för elvinsch;INREDNING;;;Other;Manöverdon Infällt/ 1-Pol;Manöverdon för elvinsch inkl. nyckel. Finns både som infällt och utanpåliggande.;;;;;1,951.60;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/130855;
;130863;;Kantskydd till baskettavla;RESERVDEL;;;Ball sport;Kantskydd inkl lim baskettavla;Kantskydd som passar till baskettavla med stålram och tjocklek 60 mm. FIBA-godkänt.;;;;;1,951.60;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/130863;
;130864;;Kantskydd VGS;RESERVDEL;;;Ball sport;Kantskydd VGS för baskettavla;Kantskydd som passar till baskettavlor med tjocklek 12-18 mm. Inkl. lim för fastsättning.;;;;;1,512.08;SEK;25%;SATS;;;;;https://webshop.unisport.com/se_sv/image/130864;
;140046;;Väggbräda för Handbollsmål;RESERVDEL;;;Ball sport;Väggbräda;Lackerad väggbräda för montage av handbollsmål i vägg. Mått: 2150 x 170 x 30 mm.;;;;;858.54;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/140046;
;140095;;Rep till Handbollsmål;RESERVDEL;;;Ball sport;Rep Till Handbollsmål;Rep till svängbart handbollsmål. Mått: 3090 mm. 3 st krävs för ett mål.;;;;;218.94;SEK;25%;ST;;;;;https://webshop.unisport.com/se_sv/image/140095;
